CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
159,Male,34,78,1
79,Female,23,54,52
121,Male,27,67,56
4,Female,23,16,77
20,Female,35,23,98
49,Female,29,40,42
83,Male,67,54,41
194,Female,38,113,91
55,Female,50,43,45
191,Female,34,103,23
138,Male,32,73,73
2,Male,21,15,81
193,Male,33,113,8
141,Female,57,75,5
59,Female,27,46,51
91,Female,68,59,55
39,Female,36,37,26
35,Female,49,33,14
192,Female,32,103,69
115,Female,18,65,48
97,Female,47,60,47
158,Female,30,78,78
71,Male,70,49,55
51,Female,49,42,52
154,Female,38,78,76
80,Female,49,54,42
15,Male,37,20,13
94,Female,40,60,40
93,Male,48,60,49
86,Male,48,54,46
10,Female,30,19,72
170,Male,32,87,63
132,Male,39,71,75
197,Female,45,126,28
137,Female,44,73,7
162,Female,29,79,83
172,Male,28,87,75
179,Male,59,93,14
196,Female,35,120,79
156,Female,27,78,89
11,Male,67,19,14
152,Male,39,78,88
187,Female,54,101,24
26,Male,29,28,82
77,Female,45,54,53
195,Female,47,120,16
89,Female,34,58,60
145,Male,25,77,12
177,Male,58,88,15
142,Male,32,75,93
198,Male,32,126,74
42,Male,24,38,92
40,Female,20,37,75
29,Female,40,29,31
36,Female,21,33,81
101,Female,23,62,41
173,Male,36,87,10
12,Female,35,19,99
199,Male,32,137,18
48,Female,27,40,47
120,Female,50,67,57
149,Female,34,78,22
188,Male,28,101,68
68,Female,68,48,48
85,Female,21,54,57
92,Male,18,59,41
63,Female,67,47,52
127,Male,43,71,35
103,Male,67,62,59
88,Female,22,57,55
96,Male,24,60,52
22,Male,25,24,73
113,Female,38,64,42
136,Female,29,73,88
43,Male,48,39,36
7,Female,35,18,6
163,Male,19,81,5
176,Female,30,88,86
47,Female,50,40,55
87,Female,55,57,58
167,Male,42,86,20
117,Female,63,65,43
73,Female,60,50,49
65,Male,63,48,51
