registered,cnt
278,421
57,58
11,17
1,1
340,427
133,142
243,257
226,411
52,64
201,228
179,291
439,514
11,12
232,333
146,183
193,244
6,6
85,116
16,20
57,64
9,11
88,105
71,84
161,251
243,382
302,358
415,647
8,9
180,248
108,118
220,227
113,117
371,436
266,343
146,206
18,26
166,202
110,129
4,5
260,300
684,772
168,222
127,223
132,150
27,48
227,266
139,168
170,190
5,5
3,3
2,2
249,369
197,359
468,656
9,9
179,273
42,45
218,236
9,13
8,12
164,180
6,6
155,168
203,210
11,16
2,4
5,7
152,199
253,409
13,13
48,49
216,253
170,197
129,227
1,3
75,111
107,128
43,48
104,108
270,346
2,2
127,150
539,580
296,385
4,7
1,1
474,694
4,5
224,245
17,25
65,75
202,281
315,499
80,93
60,68
201,205
135,159
196,332
79,83
300,315
79,92
9,12
5,5
200,260
153,168
57,65
70,88
65,73
6,9
32,39
95,136
136,163
321,379
136,165
273,279
68,75
134,176
271,403
224,274
196,436
125,138
6,10
19,23
20,32
8,10
192,232
354,412
51,60
73,80
7,7
183,233
156,180
45,48
8,9
360,363
245,306
276,463
181,418
44,49
223,317
408,437
276,443
103,136
25,30
80,93
360,424
119,156
244,391
167,220
320,370
108,228
370,618
148,160
254,320
213,251
240,289
44,48
243,390
156,188
80,111
92,135
498,566
9,10
48,61
28,29
209,370
42,44
3,3
5,5
46,47
478,495
208,270
150,170
111,123
236,308
17,20
32,46
23,32
50,57
712,772
34,38
10,11
116,124
49,55
64,81
187,190
122,205
478,495
5,5
33,52
158,213
133,192
281,328
3,3
681,719
104,212
117,182
696,728
87,89
192,257
399,410
1,2
234,304
32,43
114,123
31,33
40,41
164,219
80,113
112,134
35,38
176,222
478,530
3,3
156,225
145,168
629,638
108,125
317,362
83,89
30,33
3,3
183,203
513,530
18,21
101,132
61,65
225,232
129,185
63,73
131,166
39,79
111,172
134,196
42,80
1,1
35,47
646,659
101,125
180,210
289,344
2,2
202,222
4,5
320,364
28,29
379,399
514,550
5,5
696,745
82,88
155,157
84,90
58,70
9,9
138,145
17,18
5,6
212,240
185,254
248,367
126,152
163,167
88,91
107,108
343,637
541,563
88,150
70,89
424,500
311,344
303,317
713,737
1,1
8,13
355,382
9,12
317,326
363,383
203,234
162,172
49,62
179,256
144,269
58,66
7,14
55,67
4,8
85,131
192,306
55,90
85,90
5,7
65,71
39,39
745,862
201,233
45,54
571,593
4,6
96,140
9,12
319,359
127,174
132,148
13,16
172,224
50,57
23,24
6,6
138,166
145,155
51,60
39,39
41,54
335,398
127,133
14,22
214,224
85,108
313,362
125,154
286,487
328,346
92,95
183,274
2,2
264,309
83,129
6,6
344,382
391,585
224,230
98,129
68,89
68,71
64,94
10,10
180,221
167,201
440,449
178,260
4,4
163,231
23,24
5,9
9,17
139,183
157,174
174,270
267,359
133,146
91,142
66,69
320,349
172,269
45,48
14,17
80,95
82,103
24,29
35,40
15,18
38,47
156,234
575,592
240,297
192,410
456,712
391,522
226,231
151,157
154,155
65,75
66,83
79,87
5,5
46,67
7,11
480,512
268,366
312,403
247,323
3,4
99,133
3,4
40,40
87,93
171,230
424,452
191,259
70,71
45,57
28,35
111,114
172,250
127,174
18,19
311,316
46,59
436,468
43,43
52,78
148,157
444,471
239,368
34,40
446,466
496,723
428,486
112,154
123,124
174,177
2,2
313,344
216,266
5,5
127,133
8,9
141,175
24,39
407,425
8,8
475,515
20,20
16,24
9,13
54,83
82,108
432,445
163,179
183,274
148,170
142,160
229,339
107,116
60,64
152,161
83,85
5,13
114,132
17,17
5,6
354,424
39,49
3,4
159,184
22,26
135,173
61,78
74,87
241,340
306,448
58,60
7,10
14,16
108,110
85,142
89,95
193,207
272,308
270,281
3,6
2,4
13,13
164,184
11,20
224,404
761,835
4,4
241,277
18,19
275,390
54,62
251,299
11,13
141,177
10,10
187,225
32,43
2,2
330,494
134,200
98,123
3,4
60,75
29,44
164,234
126,134
211,229
242,260
5,5
180,220
390,461
510,757
112,112
658,730
95,101
240,280
255,376
262,318
3,3
146,168
213,257
352,543
4,5
102,132
151,185
311,381
180,263
46,60
53,59
190,197
44,51
33,34
177,206
299,482
285,325
158,171
0,2
234,246
100,126
209,229
23,41
89,97
340,419
35,40
335,370
222,274
109,110
55,69
262,417
198,233
377,404
4,6
118,137
6,7
33,41
9,10
136,141
38,43
15,18
145,195
3,4
24,26
413,483
60,69
153,176
51,52
11,12
539,611
41,46
418,436
7,8
190,275
96,97
177,191
5,5
368,457
117,140
696,723
171,182
402,596
41,53
13,18
4,4
490,564
64,88
161,226
119,148
64,85
153,201
18,23
181,232
46,82
162,174
323,413
109,116
80,89
417,528
757,839
187,259
48,51
37,46
115,144
611,691
178,221
207,299
216,229
533,623
56,61
56,61
211,326
8,10
281,329
55,84
4,5
59,64
13,16
36,46
179,185
2,2
272,472
219,384
165,213
64,80
49,56
23,26
317,513
223,289
133,174
98,101
188,204
335,531
6,6
296,337
49,70
8,10
413,481
343,356
10,13
32,33
429,487
207,222
549,622
220,234
267,272
31,39
55,90
99,105
272,324
23,29
48,67
69,75
137,169
64,77
6,8
340,580
270,337
83,105
133,181
57,64
17,19
185,269
679,793
511,555
749,846
10,18
118,132
5,5
70,110
166,216
226,397
522,529
43,45
226,231
283,297
712,731
219,232
8,8
199,248
316,562
533,549
60,73
2,7
517,595
71,83
314,479
118,127
4,4
398,406
91,95
262,358
74,87
619,667
33,51
57,63
492,560
13,16
29,32
78,101
18,28
8,16
532,611
69,75
79,86
377,704
103,127
169,383
88,111
121,159
133,142
18,18
19,25
164,207
141,150
1,4
111,119
7,9
96,98
26,50
8,13
387,395
163,233
697,819
48,55
159,239
437,626
58,94
72,82
7,13
380,492
3,3
221,248
283,299
151,214
108,122
733,761
11,15
86,92
173,226
533,572
757,833
6,8
1,1
219,393
84,84
7,7
110,184
374,416
189,242
112,137
12,12
265,267
13,15
137,154
24,26
67,88
7,12
10,14
756,810
42,43
203,214
156,170
742,827
150,178
178,237
4,5
1,1
149,190
598,681
27,28
26,26
209,221
179,244
34,34
39,55
9,9
182,233
311,334
30,30
103,174
74,86
25,28
129,147
102,114
16,31
3,3
21,23
493,507
42,44
157,183
741,849
126,184
149,192
86,121
148,168
8,11
176,190
187,276
35,36
453,493
414,594
169,181
54,54
149,222
439,466
288,321
70,95
60,72
16,20
5,8
214,258
385,411
22,26
277,318
71,90
