registered,cnt
81,182
11,14
556,584
77,95
213,226
338,346
185,248
19,20
632,710
64,69
61,71
48,57
15,22
254,483
101,120
16,20
323,384
3,4
243,275
4,6
103,132
446,648
238,318
48,53
241,249
791,856
362,654
143,195
267,504
53,55
5,8
27,33
189,271
445,494
185,226
509,570
47,50
178,235
90,99
12,15
107,117
70,104
133,150
23,23
62,68
189,263
144,154
209,221
77,88
21,21
5,11
1,2
343,382
50,69
135,137
112,113
350,413
94,113
6,7
168,242
6,6
393,405
136,153
474,680
29,29
139,171
24,29
428,453
42,43
29,30
3,3
54,66
220,227
697,792
203,220
14,17
72,82
116,122
167,198
253,308
94,106
21,22
161,257
190,234
14,17
467,516
90,114
8,16
245,535
94,112
217,290
58,104
25,38
171,179
308,345
111,142
10,13
53,56
184,311
95,149
359,373
11,16
149,189
251,343
67,68
2,2
162,206
260,391
136,164
129,138
316,323
103,122
354,377
128,152
170,305
2,2
119,124
193,198
211,229
9,9
454,563
270,346
111,149
7,7
6,6
337,352
9,9
240,254
242,259
161,234
226,272
242,406
76,87
7,10
6,6
226,287
48,57
195,324
55,58
10,13
97,130
130,152
8,8
0,2
281,299
42,48
225,305
474,694
142,192
144,187
5,5
151,160
185,236
79,85
6,6
31,39
222,231
194,250
72,72
284,452
368,405
226,231
10,10
366,626
20,20
149,164
30,32
39,50
37,40
177,261
7,9
681,719
28,30
7,7
185,235
461,482
383,628
4,6
55,57
341,539
6,6
126,151
243,321
96,98
147,172
64,74
46,47
628,662
4,5
21,21
231,346
310,331
16,24
75,111
42,43
39,44
164,204
157,165
112,128
115,168
292,304
98,114
6,6
344,356
15,15
656,810
85,87
146,203
347,431
7,7
9,12
63,64
216,233
139,154
105,118
5,5
4,4
361,387
115,151
161,223
65,75
361,380
469,482
83,119
163,261
1,1
349,593
117,120
318,402
39,40
395,416
51,57
391,441
6,6
218,268
17,30
94,104
156,222
58,67
22,29
1,1
28,29
191,274
288,643
240,289
78,98
108,119
63,69
292,308
9,9
122,159
225,283
39,40
720,751
88,103
61,81
389,398
383,626
18,21
219,266
130,181
779,817
193,228
500,526
99,116
68,73
39,45
80,89
188,203
199,226
73,133
170,198
200,210
219,414
154,155
113,178
142,160
9,16
1,1
120,165
191,305
73,90
95,109
3,5
78,87
91,175
26,28
87,109
44,62
160,182
698,823
100,118
202,290
153,269
318,499
127,146
160,223
474,499
209,332
72,74
139,153
155,174
68,68
253,292
231,312
580,609
2,2
119,123
25,35
207,272
352,359
269,315
69,84
3,3
115,142
368,420
4,4
20,22
61,63
180,246
203,244
117,135
6,10
163,208
3,3
19,23
1,4
110,158
25,30
11,16
156,163
169,207
36,45
17,20
361,399
500,556
166,169
208,309
9,10
69,106
221,333
176,228
241,258
109,132
12,14
73,98
4,7
34,43
293,299
70,76
168,176
102,109
144,152
2,2
126,137
53,56
247,369
106,122
246,315
189,236
259,293
85,142
114,153
64,82
170,240
611,691
178,206
420,471
156,208
555,593
100,128
2,2
113,137
11,21
190,359
53,55
13,17
218,377
210,241
5,5
402,472
11,11
305,389
443,492
567,576
174,230
324,488
218,239
740,842
18,21
214,341
130,144
163,254
3,5
177,211
30,35
124,158
18,18
193,200
139,162
78,113
34,38
49,59
19,19
496,582
42,48
163,183
290,321
435,670
284,325
426,480
8,8
111,155
6,8
238,411
225,305
74,78
209,284
185,269
25,28
3,4
246,312
192,237
291,314
10,15
202,281
302,319
268,314
66,78
67,69
598,649
181,255
139,166
228,242
93,181
129,304
211,349
164,189
537,553
175,234
3,3
74,86
120,129
70,73
283,328
163,177
4,5
170,232
43,46
71,87
114,201
156,188
167,226
20,22
510,757
475,543
323,361
549,571
50,60
12,18
145,163
86,94
530,585
175,200
184,262
8,19
185,279
43,55
50,56
202,244
79,85
327,393
339,374
92,94
266,395
387,404
19,21
143,165
656,744
55,61
96,98
47,58
115,160
24,29
1,1
81,98
56,63
16,19
352,427
130,154
39,46
162,236
184,255
163,237
344,382
89,99
226,486
204,210
419,502
128,134
115,155
247,303
107,118
172,250
9,9
17,18
287,333
55,56
159,192
176,179
162,343
128,135
246,378
31,39
123,138
144,287
16,17
20,25
74,99
387,396
67,88
134,170
236,369
49,51
127,184
168,245
109,131
9,11
63,73
249,413
13,13
189,229
8,8
36,39
2,2
111,115
36,38
696,723
253,444
188,204
4,4
171,227
441,486
5,5
20,32
408,418
10,11
228,367
212,385
270,414
24,29
305,327
450,760
230,293
5,9
93,97
11,11
10,12
88,150
62,68
415,647
232,380
99,118
29,33
26,29
256,264
119,158
78,130
474,489
21,21
196,263
112,133
8,9
5,5
111,125
186,197
126,145
66,92
157,223
761,835
1,1
38,47
98,138
14,16
61,67
278,501
67,76
185,256
744,852
182,221
175,199
317,362
80,113
3,3
299,420
6,9
130,183
257,312
3,9
137,198
100,147
247,283
90,92
150,164
117,172
4,6
24,26
266,294
183,281
59,84
183,274
195,236
192,210
137,149
309,560
505,525
88,127
52,65
102,125
1,1
7,8
92,96
90,94
361,628
134,142
5,6
267,343
2,2
473,545
0,4
76,83
42,56
49,55
204,251
532,625
2,2
8,10
58,71
203,243
258,332
334,379
5,5
320,370
97,113
304,390
169,190
9,12
183,203
213,223
154,233
268,443
670,766
75,96
385,457
41,52
10,11
250,329
234,379
93,176
25,29
22,24
24,26
384,439
299,353
358,411
89,123
220,388
255,415
3,3
48,71
164,169
21,41
160,214
25,25
14,25
5,6
549,597
275,452
140,207
4,4
127,204
209,221
81,119
166,203
103,145
7,7
38,45
190,210
184,187
270,330
158,180
262,291
18,19
104,108
517,595
167,249
39,55
76,87
150,165
29,34
21,22
215,347
63,75
64,64
46,57
249,256
78,100
3,4
28,39
83,112
757,839
654,690
523,546
469,586
11,12
226,254
280,342
134,158
104,110
152,190
220,284
7,7
478,546
220,269
296,330
212,226
299,412
14,17
90,133
190,248
31,44
49,52
96,113
103,112
199,271
711,738
26,32
87,118
55,68
2,3
177,238
10,14
45,50
120,178
451,475
51,52
85,108
136,163
226,296
189,238
118,124
114,126
65,72
108,124
11,12
66,96
161,195
475,536
26,31
139,186
55,90
35,38
767,838
157,189
198,212
4,5
186,261
110,130
14,15
169,188
10,11
7,7
85,115
5,10
298,326
83,115
595,617
14,17
484,569
619,691
135,139
9,14
70,72
168,203
387,478
25,36
252,258
82,88
239,277
113,163
90,108
217,363
315,335
161,230
453,487
1,3
85,106
13,16
159,212
42,53
210,296
1,2
1,1
3,5
177,237
65,78
5,5
109,150
49,67
239,338
279,430
223,248
30,52
39,44
147,149
243,247
42,42
306,563
256,267
136,174
0,2
115,123
82,87
4,5
251,343
150,191
63,65
84,93
142,219
139,173
180,233
260,463
16,17
6,11
108,112
511,559
25,27
308,325
114,133
88,104
335,360
2,2
161,251
2,3
315,523
6,6
87,88
187,225
4,8
71,73
715,766
54,63
365,522
379,441
189,206
116,124
175,236
111,199
143,212
7,7
90,106
187,249
214,290
8,13
270,455
117,159
45,57
5,8
96,108
28,28
508,582
55,56
123,129
200,260
274,313
404,668
14,17
54,57
0,1
48,52
136,165
95,105
2,2
41,48
71,99
230,438
154,216
24,24
230,359
97,100
360,509
30,50
28,38
4,4
287,400
99,102
22,25
7,9
662,743
17,18
0,1
504,517
273,330
40,57
8,9
330,550
73,92
92,96
159,234
486,576
135,154
415,472
73,98
78,152
2,2
539,568
184,270
198,272
56,63
31,33
20,23
228,294
129,162
277,365
239,268
291,377
55,74
22,24
8,12
9,10
331,609
130,182
279,463
31,33
5,6
59,70
193,317
54,56
234,246
280,461
