User ID,Gender,Age,EstimatedSalary,Purchased
15756932,Male,25,80000,0
15679760,Male,24,19000,0
15671249,Male,46,88000,1
15660541,Male,40,57000,0
15769596,Female,56,104000,1
15629885,Female,39,73000,0
15633531,Female,47,30000,1
15783029,Male,30,89000,0
15789432,Female,41,80000,0
15646936,Male,53,72000,1
15586996,Female,41,72000,0
15761950,Female,48,138000,1
15595917,Male,30,80000,0
15706071,Male,51,23000,1
15593014,Male,28,59000,0
15711218,Male,35,88000,0
15785170,Female,42,75000,0
15595135,Female,23,66000,0
15581198,Male,31,74000,0
15768151,Female,54,108000,1
15579781,Female,29,47000,0
15575694,Male,35,73000,0
15717560,Female,38,65000,0
15769902,Male,42,65000,0
15671387,Female,41,72000,0
15807481,Male,28,79000,0
15586757,Male,39,134000,1
15603319,Male,33,43000,0
15724161,Female,50,44000,0
15800515,Female,38,113000,1
15617134,Male,35,59000,0
15791174,Male,46,59000,0
15668575,Female,26,43000,0
15699247,Male,31,76000,0
15795298,Female,48,134000,1
15748589,Female,45,45000,1
15794493,Male,40,57000,0
15704583,Male,46,28000,1
15747097,Female,39,79000,0
15670615,Male,48,33000,1
15672091,Female,19,21000,0
15794661,Female,26,118000,0
15575247,Female,48,131000,1
15694288,Female,32,117000,1
15724858,Male,27,90000,0
15594577,Male,25,22000,0
15631912,Female,28,85000,0
15750335,Female,37,57000,0
15611430,Female,60,46000,1
15809347,Female,41,71000,0
15697574,Female,33,69000,0
15694453,Male,39,42000,0
15745232,Male,26,32000,0
15694946,Male,24,55000,0
15660200,Female,37,71000,0
15581282,Male,37,74000,0
15722061,Female,51,146000,1
15741094,Male,19,25000,0
15704987,Male,32,18000,0
15612465,Male,35,79000,0
15735549,Female,39,134000,1
15654574,Female,23,82000,0
15610801,Male,42,65000,0
15685576,Male,26,16000,0
15574305,Male,35,53000,0
15734312,Male,38,71000,0
15595324,Female,31,68000,0
15716781,Female,41,63000,0
15603942,Female,51,134000,0
15665760,Male,39,122000,1
15665416,Female,39,71000,0
15596522,Male,49,89000,1
15721592,Male,40,75000,0
15800890,Female,40,142000,1
15801247,Male,33,31000,0
15599533,Female,37,33000,0
15606472,Male,60,34000,1
15594762,Female,39,75000,1
15753102,Female,35,97000,1
15794253,Female,35,147000,1
15606274,Female,26,52000,0
15713463,Male,41,72000,0
15694395,Female,24,32000,0
15671655,Female,35,23000,0
15756820,Female,28,37000,0
15701962,Male,41,59000,0
15796351,Male,36,118000,1
15778368,Male,54,70000,1
15801658,Male,21,72000,0
15584114,Male,24,23000,0
15764604,Male,49,88000,1
15624510,Male,19,19000,0
15619653,Male,38,61000,0
15692819,Female,57,26000,1
15657163,Male,35,58000,0
15575002,Female,35,60000,0
15623502,Male,36,60000,0
15782806,Female,27,31000,0
15724402,Female,20,82000,0
15801336,Female,42,108000,1
15675791,Male,45,79000,0
15622585,Male,39,96000,1
15720943,Male,26,86000,0
15582066,Male,40,78000,0
15671766,Female,26,72000,0
15603246,Female,27,57000,0
15798659,Female,30,62000,0
15675185,Male,31,58000,0
15800215,Female,42,53000,0
15699284,Female,29,28000,0
15678201,Male,48,74000,1
15782530,Female,33,113000,0
